location,bedroom number,bathroom number,size,rent price
"Block C, Bashundhara R-A",3,3,2000 sqft,"৳100,000"
"Block C, Khilgaon",3,3,1300 sqft,"৳24,000"
"Central Road, Dhanmondi",1,2,600 sqft,"৳20,000"
"Gulshan 2, Gulshan",4,5,3700 sqft,"৳200,000"
"PC Culture Housing, Mohammadpur",3,3,1300 sqft,"৳20,000"
"Gulshan 2, Gulshan",4,5,4233 sqft,"৳200,000"
"Humayun Road, Mohammadpur",5,6,2300 sqft,"৳65,000"
"Sector 11, Uttara",3,4,1500 sqft,"৳60,000"
"Mohammadia Housing Society, Mohammadpur",3,3,1315 sqft,"৳28,000"
"Block I, Bashundhara R-A",5,5,4200 sqft,"৳180,000"
"Sector 12, Uttara",3,2,1700 sqft,"৳65,000"
"Road No 11, Dhanmondi",3,3,2000 sqft,"৳60,000"
"Block I, Bashundhara R-A",4,4,2400 sqft,"৳50,000"
"Khilji Road, Mohammadpur",2,3,1300 sqft,"৳40,000"
"Sector 12, Uttara",2,2,950 sqft,"৳40,000"
"Road No 2A, Dhanmondi",3,3,1900 sqft,"৳60,000"
"Kalachandpur Main Road, Nadda",4,4,2400 sqft,"৳75,000"
"Mirpur Road, New Market",3,3,1650 sqft,"৳40,000"
"Block I, Bashundhara R-A",3,4,1880 sqft,"৳35,000"
"Sector 12, Uttara",3,4,2170 sqft,"৳50,000"
"Nobodoy Housing Society, Mohammadpur",3,3,1250 sqft,"৳22,500"
"PC Culture Housing, Mohammadpur",3,3,1300 sqft,"৳20,000"
"Sector 10, Uttara",3,4,1900 sqft,"৳40,000"
"Sector 11, Uttara",2,2,1090 sqft,"৳23,000"
"Block B, Bashundhara R-A",3,3,1650 sqft,"৳38,000"
"Block A, Bashundhara R-A",3,4,1650 sqft,"৳35,000"
"Narinda, Sutrapur",3,3,1450 sqft,"৳30,000"
"Iqbal Road, Mohammadpur",4,4,2150 sqft,"৳60,000"
"Mohammadi Housing LTD., Mohammadpur",3,2,1400 sqft,"৳22,000"
"PC Culture Housing, Mohammadpur",3,3,1200 sqft,"৳20,000"
"East Rampura, Rampura",3,3,1200 sqft,"৳25,000"
"Old Eskaton, Eskaton",3,4,1950 sqft,"৳45,000"
"Sector 10, Uttara",3,3,1500 sqft,"৳22,000"
"Block K, Baridhara",4,4,3000 sqft,"৳140,000"
"Block K, Baridhara",4,4,4000 sqft,"৳420,000"
"Block K, Baridhara",3,3,2600 sqft,"৳150,000"
"Block C, Aftab Nagar",3,3,1200 sqft,"৳25,000"
"Block C, Aftab Nagar",3,3,1200 sqft,"৳25,000"
"Block K, Baridhara",4,4,3600 sqft,"৳300,000"
"Lake Circus Road, Kalabagan",3,3,1500 sqft,"৳30,000"
"Bizlymoholla Road, Mohammadpur",3,2,1390 sqft,"৳25,000"
"Road No 2, Baridhara DOHS",3,2,1300 sqft,"৳40,000"
"Block E, Banasree",4,4,1700 sqft,"৳35,000"
"Middle Badda, Badda",3,2,1000 sqft,"৳21,000"
"Gulshan 2, Gulshan",5,5,3500 sqft,"৳300,000"
"Block E, Bashundhara R-A",3,3,1500 sqft,"৳27,000"
"Block L, Bashundhara R-A",3,3,1150 sqft,"৳25,000"
"West Kafrul, Taltola",3,4,1550 sqft,"৳30,000"
"Shahjadpur, Badda",3,3,1400 sqft,"৳28,000"
"Ashkona, Dakshin Khan",3,2,1100 sqft,"৳20,000"
"Block B, Aftab Nagar",3,3,1250 sqft,"৳25,000"
"Baitul Aman Housing Society, Adabor",3,4,1600 sqft,"৳23,000"
"Sector 6, Uttara",3,3,1800 sqft,"৳50,000"
"Nikunja 1, Nikunja",4,7,7000 sqft,"৳350,000"
"Block E, Bashundhara R-A",3,3,1510 sqft,"৳37,000"
"Block E, Bashundhara R-A",3,3,1480 sqft,"৳37,000"
"Block D, Bashundhara R-A",3,3,1250 sqft,"৳32,000"
"Gulshan 1, Gulshan",3,3,2750 sqft,"৳110,000"
"Block G, Bashundhara R-A",3,3,1650 sqft,"৳30,000"
"Gulshan 2, Gulshan",4,4,2750 sqft,"৳200,000"
"Gulshan 2, Gulshan",4,4,2750 sqft,"৳200,000"
"Block D, Bashundhara R-A",4,4,2800 sqft,"৳50,000"
"Sector 6, Uttara",3,4,2000 sqft,"৳43,000"
"Gulshan 2, Gulshan",3,3,2800 sqft,"৳250,000"
"Gulshan 2, Gulshan",4,5,5000 sqft,"৳380,000"
"Block K, Baridhara",3,3,2882 sqft,"৳200,000"
"Gulshan 2, Gulshan",3,3,1600 sqft,"৳90,000"
"Block K, Baridhara",4,5,3800 sqft,"৳260,000"
"Block E, Bashundhara R-A",3,3,1600 sqft,"৳30,000"
"Tejkunipara, Tejgaon",3,3,1690 sqft,"৳53,000"
"Block H, Bashundhara R-A",3,3,1560 sqft,"৳23,000"
"Sector 14, Uttara",3,3,1600 sqft,"৳35,000"
"Block E, Aftab Nagar",3,3,1450 sqft,"৳25,000"
"Block F, Aftab Nagar",3,3,1400 sqft,"৳30,000"
"Block F, Aftab Nagar",3,3,1400 sqft,"৳30,000"
"Sector 10, Uttara",3,3,1750 sqft,"৳60,000"
"Block L, Bashundhara R-A",3,3,1150 sqft,"৳25,000"
"Uttar Badda, Badda",3,3,1100 sqft,"৳25,000"
"Block C, Aftab Nagar",4,4,2340 sqft,"৳50,000"
"Nikunja 2, Nikunja",2,2,750 sqft,"৳21,000"
"Gopibag, Motijheel",3,3,1200 sqft,"৳30,000"
"Middle Badda, Badda",3,3,1300 sqft,"৳25,000"
"Block G, Banasree",3,2,1100 sqft,"৳22,000"
"PC Culture Housing, Mohammadpur",3,2,1100 sqft,"৳22,000"
"Sector 10, Uttara",3,3,1750 sqft,"৳60,000"
"Sector 10, Uttara",3,3,1750 sqft,"৳60,000"
"Block G, Bashundhara R-A",3,3,1600 sqft,"৳25,000"
"Vatara, Badda",3,2,1200 sqft,"৳21,000"
"Block G, Banasree",4,3,1650 sqft,"৳35,000"
"Vatara, Badda",3,2,1200 sqft,"৳21,000"
"Block B, Bashundhara R-A",3,4,2200 sqft,"৳40,000"
"Block A, Bashundhara R-A",3,4,2000 sqft,"৳40,000"
"Block A, Bashundhara R-A",3,4,2000 sqft,"৳40,000"
"Block A, Bashundhara R-A",3,4,2000 sqft,"৳40,000"
"Block A, Bashundhara R-A",3,4,2000 sqft,"৳40,000"
"Gulshan 2, Gulshan",4,5,3900 sqft,"৳320,000"
"Gulshan 2, Gulshan",4,5,3900 sqft,"৳320,000"
"Vatara, Badda",3,2,1200 sqft,"৳21,000"
"Block D, Bashundhara R-A",3,4,2270 sqft,"৳45,000"
"West Agargaon, Agargaon",3,3,1350 sqft,"৳22,000"
"Block F, Banasree",3,3,1450 sqft,"৳30,000"
"Boro Maghbazar, Maghbazar",3,3,1350 sqft,"৳25,000"
"Block D, Bashundhara R-A",4,4,2250 sqft,"৳45,000"
"Gulshan 1, Gulshan",4,4,3100 sqft,"৳100,000"
"Sector 11, Uttara",3,4,1800 sqft,"৳40,000"
"Naya Paltan, Motijheel",3,3,1325 sqft,"৳32,000"
"Shantibag, Malibagh",3,3,1000 sqft,"৳22,000"
"Block L, Bashundhara R-A",3,3,1150 sqft,"৳25,000"
"Block I, Bashundhara R-A",4,5,2500 sqft,"৳45,000"
"Lake Circus(Abed Dhali Road), Kalabagan",3,3,1100 sqft,"৳35,000"
"Tajmahal Road, Mohammadpur",3,2,900 sqft,"৳21,000"
"Purana Paltan, Motijheel",2,2,1050 sqft,"৳28,000"
"Shahjadpur, Badda",3,3,1300 sqft,"৳30,000"
"Sector 5, Uttara",3,3,1400 sqft,"৳26,000"
"Sector 5, Uttara",3,3,1400 sqft,"৳26,000"
"Sector 11, Uttara",2,2,900 sqft,"৳22,000"
"Shahjadpur, Badda",3,3,1350 sqft,"৳22,000"
"Vatara, Badda",3,2,1200 sqft,"৳21,000"
"Gulshan 2, Gulshan",3,3,2100 sqft,"৳70,000"
"Tajmahal Road, Mohammadpur",3,2,900 sqft,"৳21,000"
"Block H, Banasree",3,3,1100 sqft,"৳20,000"
"Sector 5, Uttara",3,3,1400 sqft,"৳26,000"
